Elemento,Year,Unidad,Valor,TOTAL
Población total,2019,1000,1308064.195,1308064195
Población rural,2019,1000,752651.097,752651097
Población urbana,2019,1000,567387.619,567387619
Población total,2020,1000,1340598.147,1340598147
Población rural,2020,1000,764884.396,764884396
Población urbana,2020,1000,587737.793,587737793
Población total,2021,1000,1373486.524,1373486524
Población rural,2021,1000,777000.214,777000214
Población urbana,2021,1000,608654.401,608654401
Población total,2022,1000,1406728.744,1406728744
Población rural,2022,1000,788982.695,788982695
Población urbana,2022,1000,630139.701,630139701
Población total,2023,1000,1440353.458,1440353458
Población rural,2023,1000,800827.859,800827859
Población urbana,2023,1000,652206.412,652206412
Población total,2024,1000,1474410.446,1474410446
Población rural,2024,1000,812534.941,812534941
Población urbana,2024,1000,674871.188,674871188
Población total,2025,1000,1508935.218,1508935218
Población rural,2025,1000,824101.15,824101150
Población urbana,2025,1000,698148.943,698148943
Población total,2026,1000,1543926.362,1543926362
Población rural,2026,1000,835515.99,835515990
Población urbana,2026,1000,722046.585,722046585
Población total,2027,1000,1579364.731,1579364731
Población rural,2027,1000,846768.465,846768465
Población urbana,2027,1000,746569.796,746569796
Población total,2028,1000,1615247.405,1615247405
Población rural,2028,1000,857855.003,857855003
Población urbana,2028,1000,771730.984,771730984
Población total,2029,1000,1651568.625,1651568625
Población rural,2029,1000,868774.029,868774029
Población urbana,2029,1000,797543.035,797543035
Población total,2030,1000,1688321.099,1688321099
Población rural,2030,1000,879523.703,879523703
Población urbana,2030,1000,824013.801,824013801
Población total,2031,1000,1725497.933,1725497933
Población rural,2031,1000,890090.957,890090957
Población urbana,2031,1000,851152.702,851152702
Población total,2032,1000,1763089.32,1763089320
Población rural,2032,1000,900469.066,900469066
Población urbana,2032,1000,878956.173,878956173
Población total,2033,1000,1801080.832,1801080832
Población rural,2033,1000,910646.202,910646202
Población urbana,2033,1000,907425.527,907425527
Población total,2034,1000,1839454.865,1839454865
Población rural,2034,1000,920616.087,920616087
Población urbana,2034,1000,936553.516,936553516
Población total,2035,1000,1878193.685,1878193685
Población rural,2035,1000,930373.812,930373812
Población urbana,2035,1000,966329.885,966329885
Población total,2036,1000,1917281.457,1917281457
Población rural,2036,1000,939919.531,939919531
Población urbana,2036,1000,996741.915,996741915
Población total,2037,1000,1956701.778,1956701778
Población rural,2037,1000,949181.383,949181383
Población urbana,2037,1000,1027845.35,1027845350
Población total,2038,1000,1996434.428,1996434428
Población rural,2038,1000,958147.881,958147881
Población urbana,2038,1000,1059626.492,1059626492
Población total,2039,1000,2036457.743,2036457743
Población rural,2039,1000,966805.766,966805766
Población urbana,2039,1000,1092069.379,1092069379
Población total,2040,1000,2076749.529,2076749529
Población rural,2040,1000,975140.216,975140216
Población urbana,2040,1000,1125161.515,1125161515
Población total,2041,1000,2117291.262,2117291262
Población rural,2041,1000,983140.938,983140938
Población urbana,2041,1000,1158893.094,1158893094
Población total,2042,1000,2158061.493,2158061493
Población rural,2042,1000,990784.374,990784374
Población urbana,2042,1000,1193268.358,1193268358
Población total,2043,1000,2199032.026,2199032026
Población rural,2043,1000,998090.114,998090114
Población urbana,2043,1000,1228241.613,1228241613
Población total,2044,1000,2240171.703,2240171703
Población rural,2044,1000,1005035.384,1005035384
Población urbana,2044,1000,1263807.666,1263807666
Población total,2045,1000,2281452.464,2281452464
Población rural,2045,1000,1011608.077,1011608077
Población urbana,2045,1000,1299953.249,1299953249
Población total,2046,1000,2322851.738,2322851738
Población rural,2046,1000,1017799.993,1017799993
Población urbana,2046,1000,1336663.829,1336663829
Población total,2047,1000,2364351.155,2364351155
Población rural,2047,1000,1023603.865,1023603865
Población urbana,2047,1000,1373927.679,1373927679
Población total,2048,1000,2405932.615,2405932615
Población rural,2048,1000,1029014.071,1029014071
Población urbana,2048,1000,1411732.868,1411732868
Población total,2049,1000,2447579.612,2447579612
Población rural,2049,1000,1034026.388,1034026388
Población urbana,2049,1000,1450067.812,1450067812
Población total,2050,1000,2489275.458,2489275458
Población rural,2050,1000,1038636.716,1038636716
Población urbana,2050,1000,1488920.045,1488920045
