ISO3,Area,AREA_CONT,Element,Year,Unit,Value,TOTAL,CONS_AGUA_LITROS_DIA,EQUIVALENCIA L/M3,LITROS_TOTAL_POBLACION,M3,M3_YEAR,COBERTURA DE AGUA,BASE,POBLACION_CON_AGUA
DZA,Algeria,North of Africa,Total Population,2019,1000,43053.054,43053054,47,1000,2023493538,2023493.538,738575141.4,0.3,43053054,12915916
DZA,Algeria,North of Africa,Total Population,2020,1000,43851.044,43851044,47,1000,2060999068,2060999.068,752264659.8,0.3,43053054,12915916
DZA,Algeria,North of Africa,Total Population,2021,1000,44616.624,44616624,47,1000,2096981328,2096981.328,765398184.7,0.3,43053054,12915916
DZA,Algeria,North of Africa,Total Population,2022,1000,45350.148,45350148,47,1000,2131456956,2131456.956,777981788.9,0.3,43053054,12915916
DZA,Algeria,North of Africa,Total Population,2023,1000,46053.477,46053477,47,1000,2164513419,2164513.419,790047397.9,0.3,43053054,12915916
DZA,Algeria,North of Africa,Total Population,2024,1000,46731.369,46731369,47,1000,2196374343,2196374.343,801676635.2,0.3,43053054,12915916
DZA,Algeria,North of Africa,Total Population,2025,1000,47387.618,47387618,47,1000,2227218046,2227218.046,812934586.8,0.3,43053054,12915916
DZA,Algeria,North of Africa,Total Population,2026,1000,48022.195,48022195,47,1000,2257043165,2257043.165,823820755.2,0.3,43053054,12915916
DZA,Algeria,North of Africa,Total Population,2027,1000,48634.174,48634174,47,1000,2285806178,2285806.178,834319255,0.3,43053054,12915916
DZA,Algeria,North of Africa,Total Population,2028,1000,49225.942,49225942,47,1000,2313619274,2313619.274,844471035,0.3,43053054,12915916
DZA,Algeria,North of Africa,Total Population,2029,1000,49800.531,49800531,47,1000,2340624957,2340624.957,854328109.3,0.3,43053054,12915916
DZA,Algeria,North of Africa,Total Population,2030,1000,50360.749,50360749,47,1000,2366955203,2366955.203,863938649.1,0.3,43053054,12915916
DZA,Algeria,North of Africa,Total Population,2031,1000,50907.944,50907944,47,1000,2392673368,2392673.368,873325779.3,0.3,43053054,12915916
DZA,Algeria,North of Africa,Total Population,2032,1000,51443.646,51443646,47,1000,2417851362,2417851.362,882515747.1,0.3,43053054,12915916
DZA,Algeria,North of Africa,Total Population,2033,1000,51971.114,51971114,47,1000,2442642358,2442642.358,891564460.7,0.3,43053054,12915916
DZA,Algeria,North of Africa,Total Population,2034,1000,52494.087,52494087,47,1000,2467222089,2467222.089,900536062.5,0.3,43053054,12915916
DZA,Algeria,North of Africa,Total Population,2035,1000,53015.567,53015567,47,1000,2491731649,2491731.649,909482051.9,0.3,43053054,12915916
DZA,Algeria,North of Africa,Total Population,2036,1000,53536.962,53536962,47,1000,2516237214,2516237.214,918426583.1,0.3,43053054,12915916
DZA,Algeria,North of Africa,Total Population,2037,1000,54058.973,54058973,47,1000,2540771731,2540771.731,927381681.8,0.3,43053054,12915916
DZA,Algeria,North of Africa,Total Population,2038,1000,54582.843,54582843,47,1000,2565393621,2565393.621,936368671.7,0.3,43053054,12915916
DZA,Algeria,North of Africa,Total Population,2039,1000,55109.589,55109589,47,1000,2590150683,2590150.683,945404999.3,0.3,43053054,12915916
DZA,Algeria,North of Africa,Total Population,2040,1000,55639.766,55639766,47,1000,2615069002,2615069.002,954500185.7,0.3,43053054,12915916
DZA,Algeria,North of Africa,Total Population,2041,1000,56173.695,56173695,47,1000,2640163665,2640163.665,963659737.7,0.3,43053054,12915916
DZA,Algeria,North of Africa,Total Population,2042,1000,56710.934,56710934,47,1000,2665413898,2665413.898,972876072.8,0.3,43053054,12915916
DZA,Algeria,North of Africa,Total Population,2043,1000,57250.034,57250034,47,1000,2690751598,2690751.598,982124333.3,0.3,43053054,12915916
DZA,Algeria,North of Africa,Total Population,2044,1000,57788.898,57788898,47,1000,2716078206,2716078.206,991368545.2,0.3,43053054,12915916
DZA,Algeria,North of Africa,Total Population,2045,1000,58325.558,58325558,47,1000,2741301226,2741301.226,1000574947,0.3,43053054,12915916
DZA,Algeria,North of Africa,Total Population,2046,1000,58859.116,58859116,47,1000,2766378452,2766378.452,1009728135,0.3,43053054,12915916
DZA,Algeria,North of Africa,Total Population,2047,1000,59388.439,59388439,47,1000,2791256633,2791256.633,1018808671,0.3,43053054,12915916
DZA,Algeria,North of Africa,Total Population,2048,1000,59910.91,59910910,47,1000,2815812770,2815812.77,1027771661,0.3,43053054,12915916
DZA,Algeria,North of Africa,Total Population,2049,1000,60423.428,60423428,47,1000,2839901116,2839901.116,1036563907,0.3,43053054,12915916
DZA,Algeria,North of Africa,Total Population,2050,1000,60923.386,60923386,47,1000,2863399142,2863399.142,1045140687,0.3,43053054,12915916
